,line_name,start_stop,end_stop,bounds,distance,station_name,station_coords,station_sequence
23,5路/K5路(公交寒亭枢纽站--火车站),公交寒亭枢纽站,火车站,"119.098533,36.698689;119.235352,36.776115",18.25028,潍坊第十中学,"119.127602,36.722218",24
24,5路/K5路(公交寒亭枢纽站--火车站),公交寒亭枢纽站,火车站,"119.098533,36.698689;119.235352,36.776115",18.25028,鸢飞路福寿街路口,"119.128006,36.717991",25
25,5路/K5路(公交寒亭枢纽站--火车站),公交寒亭枢纽站,火车站,"119.098533,36.698689;119.235352,36.776115",18.25028,潍坊中学,"119.128284,36.715109",26
26,5路/K5路(公交寒亭枢纽站--火车站),公交寒亭枢纽站,火车站,"119.098533,36.698689;119.235352,36.776115",18.25028,公交总公司,"119.126839,36.71302",27
27,5路/K5路(公交寒亭枢纽站--火车站),公交寒亭枢纽站,火车站,"119.098533,36.698689;119.235352,36.776115",18.25028,市中医院,"119.120956,36.708973",28
28,5路/K5路(公交寒亭枢纽站--火车站),公交寒亭枢纽站,火车站,"119.098533,36.698689;119.235352,36.776115",18.25028,东苑公园,"119.118675,36.706905",29
29,5路/K5路(公交寒亭枢纽站--火车站),公交寒亭枢纽站,火车站,"119.098533,36.698689;119.235352,36.776115",18.25028,风筝广场,"119.114523,36.706933",30
30,5路/K5路(公交寒亭枢纽站--火车站),公交寒亭枢纽站,火车站,"119.098533,36.698689;119.235352,36.776115",18.25028,和平路胜利街路口南,"119.107079,36.707166",31
31,5路/K5路(公交寒亭枢纽站--火车站),公交寒亭枢纽站,火车站,"119.098533,36.698689;119.235352,36.776115",18.25028,人民路小商品城,"119.103839,36.703675",32
32,5路/K5路(公交寒亭枢纽站--火车站),公交寒亭枢纽站,火车站,"119.098533,36.698689;119.235352,36.776115",18.25028,火车站,"119.098679,36.699833",33
0,6路(朱里镇政府--火车站),朱里镇政府,火车站,"119.099110,36.690990;119.387642,36.734879",27.08941,朱里镇政府,"119.387604,36.734879",1
1,6路(朱里镇政府--火车站),朱里镇政府,火车站,"119.099110,36.690990;119.387642,36.734879",27.08941,朱里镇西,"119.383591,36.732361",2
2,6路(朱里镇政府--火车站),朱里镇政府,火车站,"119.099110,36.690990;119.387642,36.734879",27.08941,罗都屯,"119.374237,36.731243",3
3,6路(朱里镇政府--火车站),朱里镇政府,火车站,"119.099110,36.690990;119.387642,36.734879",27.08941,眉村,"119.355766,36.730339",4
4,6路(朱里镇政府--火车站),朱里镇政府,火车站,"119.099110,36.690990;119.387642,36.734879",27.08941,富郭庄,"119.340538,36.729931",5
5,6路(朱里镇政府--火车站),朱里镇政府,火车站,"119.099110,36.690990;119.387642,36.734879",27.08941,代家庄,"119.333633,36.729614",6
